Entry_Datetime,Future_Traded_Price,ATM,Days_to_Expiry,CE_Symbol,CE_Entry_Price,CE_Exit_Price,CE_Exit_Datetime,PE_Symbol,PE_Entry_Price,PE_Exit_Price,PE_Exit_Datetime,PnL
2019-05-24 09:20:00,30747.8,30800,6,BANKNIFTY30MAY1930800CE.NFO,268.15,321.78,2019-05-24 12:49:00,BANKNIFTY30MAY1930800PE.NFO,321.4,385.67999999999995,2019-05-24 09:32:00,-117.90999999999997
2019-05-27 09:20:00,31288.75,31300,3,BANKNIFTY30MAY1931300CE.NFO,257.1,308.52000000000004,2019-05-27 09:25:00,BANKNIFTY30MAY1931300PE.NFO,265.55,122.45,2019-05-27 15:10:00,91.68
2019-05-28 09:20:00,31641.85,31700,2,BANKNIFTY30MAY1931700CE.NFO,199.65,142.65,2019-05-28 15:10:00,BANKNIFTY30MAY1931700PE.NFO,244.35,293.22,2019-05-28 09:35:00,8.129999999999967
2019-05-29 09:20:00,31505.95,31500,1,BANKNIFTY30MAY1931500CE.NFO,160.25,51.1,2019-05-29 15:10:00,BANKNIFTY30MAY1931500PE.NFO,150.45,180.54,2019-05-29 09:49:00,79.06
2019-05-30 09:20:00,31305.0,31300,0,BANKNIFTY30MAY1931300CE.NFO,95.45,114.54,2019-05-30 09:41:00,BANKNIFTY30MAY1931300PE.NFO,87.2,0.65,2019-05-30 15:10:00,67.46
2019-05-31 09:20:00,31751.0,31700,6,BANKNIFTY06JUN1931700CE.NFO,280.7,101.2,2019-05-31 15:10:00,BANKNIFTY06JUN1931700PE.NFO,291.45,349.74,2019-05-31 11:51:00,121.20999999999998
2019-06-03 09:20:00,31327.55,31300,3,BANKNIFTY06JUN1931300CE.NFO,243.75,292.5,2019-06-03 09:27:00,BANKNIFTY06JUN1931300PE.NFO,249.4,86.05,2019-06-03 15:10:00,114.60000000000002
2019-06-04 09:20:00,31692.3,31700,2,BANKNIFTY06JUN1931700CE.NFO,175.0,106.85,2019-06-04 15:10:00,BANKNIFTY06JUN1931700PE.NFO,220.7,199.0,2019-06-04 15:10:00,89.85
2019-06-06 09:20:00,31541.7,31500,0,BANKNIFTY06JUN1931500CE.NFO,124.4,0.15,2019-06-06 15:10:00,BANKNIFTY06JUN1931500PE.NFO,113.35,136.01999999999998,2019-06-06 09:33:00,101.58000000000001
2019-06-07 09:20:00,30893.4,30900,6,BANKNIFTY13JUN1930900CE.NFO,232.55,279.06,2019-06-07 10:05:00,BANKNIFTY13JUN1930900PE.NFO,273.15,327.78,2019-06-07 09:25:00,-101.13999999999999
